WARD_NO,WARD_NAME,latitude,longitude
621001,Erakudi,10.4694,78.5056
621011,Uppidamangalam,10.4694,78.5056
621014,Pagalavadi,10.4694,78.5056
621017,Chenguttupatti,10.4694,78.5056
621022,Okkarai,10.4694,78.5056
621104,Chettikulam,8.15,77.6
621105,Irungalur,9.625,78.2167
621108,Labbaikudikadu,9.625,78.2167
621109,Padalur,11.1,78.8333
621112,Samayapuram,10.9333,78.7333
621114,T Kalathur,10.9333,78.7333
621117,V Kalathur,10.9333,78.7333
621118,Nakkalalem,10.9333,78.7333
621121,Ladapuram,11.2333,78.7333
621203,Balasamudram,10.4694,78.5056
621205,Jambunathapuram,10.4694,78.5056
621212,Madanagopalapuram,10.4694,78.5056
621216,Bikshandarkoil,10.4694,78.5056
621218,Valady,10.4694,78.5056
621219,Yesanai,10.4694,78.5056
621224,Urakkarai,10.4694,78.5056
621302,Elangakurichi,10.5333,78.3
621303,Inamkolathur R S,10.5333,78.3
621315,Vaiyampatti,10.5333,78.3
621601,Lalgudi H O,10.4694,78.5056
621713,Rajajinagar Tiruchy,10.8667,78.8333
621729,Lalgudi,10.8667,78.8333
621802,Jayankondacholapuram West,10.4694,78.5056
621853,Ilandaikudam,10.4694,78.5056
622001,Machuvadi,9.7693,78.1427
622003,Rajagopalapuram,9.7693,78.1427
622102,Illupur,9.7693,78.1427
622204,Yembal,9.7693,78.1427
622301,Alangudi (Pdk),9.7693,78.1427
622404,Nachandupatti,9.7693,78.1427
622410,Ulagampatti,9.7693,78.1427
622416,V Pudur,9.7693,78.1427
622421,Lambalakudi,9.7693,78.1427
622501,Cauverynagar,9.7693,78.1427
622505,Ramachandrapuram,9.7693,78.1427
622514,Hiradayapuram,9.7693,78.1427
623003,Alagappapuram H O,9.5958,78.7333
623004,Alagappa Engg College,9.5958,78.7333
623005,Devakottai Road,9.5958,78.7333
623102,Chettinad,9.5958,78.7333
623104,Kadanur,9.5958,78.7333
623207,Nachiapuram,9.5958,78.7333
623208,O Siruvayal,9.5958,78.7333
623209,S M Hospital,9.5958,78.7333
623302,Devakottai West,9.5958,78.7333
623304,Eriyur,9.5958,78.7333
623309,Oriyur,9.5958,78.7333
623313,Sambanur,9.5958,78.7333
623403,Nadambakkam,9.5958,78.7333
623501,Ramanathapuram Bazaar,9.6389,78.8278
623502,Achunthanvayal,9.6389,78.8278
623512,Alangankulam,9.3,79.0333
623516,Irumeni,9.3,79.0333
623525,Rajasingamangalam,9.6667,78.85
623527,Chattirakudi,9.6667,78.85
623534,Uchipulli,9.6389,78.8278
623535,Ramanathapuram Bus Stand,9.6389,78.8278
623553,Madagupattu,9.95,78.6
623557,Okkur,9.95,78.6
623558,Paganeri,9.95,78.6
623560,Jawahar Bazaar,9.6389,78.8278
623562,Tamarakki,9.6389,78.8278
623601,Abiramam,9.4667,78.45
623602,Idaikaatur,9.4667,78.45
623609,Rajagambiram,9.4667,78.45
623701,Emaneswaram,9.5958,78.7333
623703,Kadaladi (Ramnad),9.5958,78.7333
623704,Vadakkur,9.5958,78.7333
623705,Nainarkoil,9.5958,78.7333
623707,Bharathi Nagar,9.5958,78.7333
623710,Salaigramam,9.5958,78.7333
623804,Vadalai,9.5958,78.7333
624001,Dindigul Bazar,10.5333,78.0667
624002,Begampur,10.5333,78.0667
624003,Bharathipuram,10.5333,78.0667
624004,Beschi College,10.5333,78.0667
624005,Balakrishnapurampudur,10.5333,78.0667
624009,N G O Colony Dindigul,10.5333,78.0667
624054,Hanumantharayankottai,10.5333,78.0667
624202,Batlagundu Bazaar,10.5333,78.0667
624213,Ramarajapuram,10.5333,78.0667
624216,Tandigudi,10.5333,78.0667
624221,Tanichiyam,10.5333,78.0667
624302,Gandhi Gram,10.5333,78.0667
624312,Samiyarpatti,10.5333,78.0667
624314,Chettiapatti,10.5333,78.0667
624316,Rajakkapatti,10.5333,78.0667
624501,Chaturvedamangalam,10.5333,78.0667
624601,Palani Devasthanam,10.5333,78.0667
624610,Balasamudram (Ddl),10.5333,78.0667
624614,Chatrapatti Palani,10.5333,78.0667
624615,Kalayamputhur,10.5333,78.0667
624619,Oddanchatram North,10.5333,78.0667
624620,Palayam-Palani,10.5333,78.0667
624624,Palakkanuthu,10.5333,78.0667
624625,K Keeranur,10.5333,78.0667
624701,Ahtoor (Madurai),10.5333,78.0667
624702,Eriyodu,10.5333,78.0667
624704,Idayakottai,10.5333,78.0667
624709,Tadicombu,10.5333,78.0667
624714,Dharmathupatti,10.5333,78.0667
624802,Vadamadurai,10.4667,78.0833
625001,Lakshmipuram,10.025,78.0417
625002,Madurai Corporation Bldgs,10.025,78.0417
625003,Alagappa Nagar,10.025,78.0417
625008,De Nobili Press,10.025,78.0417
625009,Balarangapuram,10.025,78.0417
625010,West Ponnagaram,10.025,78.0417
625011,Jaihindpuram,10.025,78.0417
625014,Madurai Reserve Lines,10.025,78.0417
625020,Gandhi Nagar,13.0064,80.2542
625052,Chatrapatti Mdu,10.025,78.0417
625104,Madurai Agricultural College,10.025,78.0417
625107,Othakadai,10.025,78.0417
625119,Uranganpatti,10.025,78.0417
625121,Taniyamangalam,10.025,78.0417
625126,Kachirayanpatti,10.025,78.0417
625301,Alagarkoil,10.025,78.0417
625402,Samayanallur,9.9833,78.0333
625501,Alanganallur,10.0667,78.05
625602,Palani R S,10.025,78.0417
626004,Palavanatham,9.55,78.0167
626056,Alagianallur,9.55,78.0167
626102,Chatrapatti Virudhunagar,9.5417,77.6083
626103,Erichinatham,9.5417,77.6083
626110,Sahibpuram,9.45,77.5667
626112,Palayampatti,9.45,77.5667
626117,Rajapalayam,9.45,77.5667
626127,Tamilnadu Cements(Algngul,9.5417,77.6083
626132,Watrap,9.6333,77.65
626134,Chettikurichi,9.6333,77.65
626145,Devadanam,9.5417,77.6083
626146,Ilandaikulam,9.5417,77.6083
626150,Nachiarkoil,9.5417,77.6083
626154,Vaithilingapuram,9.5417,77.6083
626156,S Tharaikudi,9.5417,77.6083
626159,Ramasaminagar,9.5417,77.6083
626163,Zamin Kollangondan,9.5417,77.6083
626171,M Pudupatti,9.5417,77.6083
626175,Nallamanaickenpatti,9.5417,77.6083
626177,Eluppaiyur,9.5417,77.6083
626180,Injar,9.5417,77.6083
626183,Vadhuvarpatti,9.5417,77.6083
626187,Idivilagi,9.5417,77.6083
626188,Dalavaipuram,9.5417,77.6083
626201,Elayirampannai,9.2667,77.8333
626204,Ramasamyrajanagar,9.2667,77.8333
626205,Uppathur,9.2667,77.8333
626206,Irukkangudi,9.2667,77.8333
626210,T Sedapatti,9.2667,77.8333
626501,Vadagarai,9.61,77.7433
626512,Jakkampatti,9.61,77.7433
626513,Bodinayakkanur H O,9.61,77.7433
626514,Checkanurani,9.61,77.7433
626516,Gandhi Nagar Cumbum,9.61,77.7433
626517,Gandamanayakanur,9.61,77.7433
626519,Highways,9.61,77.7433
626531,Bangalamedu,9.61,77.7433
626532,Uslampatti Pettai,9.61,77.7433
626533,Uthamapalayam Bazar,9.61,77.7433
626535,Yelumalai,9.61,77.7433
626536,T Subbalapuram,9.61,77.7433
626537,Uthappanayakanur,9.61,77.7433
626540,Odiapatti,9.61,77.7433
626541,U Ammapatti,9.61,77.7433
